iter	Passed	Remaining
0	145	144979
1	146	73042
2	148	49278
3	149	37232
4	150	29988
5	152	25200
6	153	21762
7	155	19230
8	156	17224
9	157	15611
10	158	14292
11	160	13190
12	161	12264
13	162	11462
14	164	10773
15	165	10178
16	166	9649
17	168	9169
18	170	8781
19	171	8411
20	173	8084
21	175	7823
22	177	7539
23	178	7275
24	180	7032
25	181	6802
26	184	6654
27	186	6472
28	187	6288
29	189	6115
30	190	5950
31	191	5800
32	193	5670
33	195	5543
34	196	5421
35	198	5326
36	200	5213
37	201	5104
38	203	5006
39	204	4914
40	206	4823
41	207	4740
42	209	4655
43	210	4575
44	212	4503
45	213	4427
46	214	4355
47	216	4286
48	217	4223
49	219	4168
50	221	4114
51	222	4064
52	224	4006
53	225	3950
54	227	3915
55	229	3868
56	230	3820
57	232	3774
58	233	3726
59	235	3682
60	236	3640
61	237	3597
62	239	3556
63	240	3515
64	241	3480
65	243	3442
66	244	3408
67	245	3364
68	246	3330
69	248	3297
70	249	3266
71	251	3236
72	252	3209
73	254	3182
74	256	3158
75	258	3138
76	259	3111
77	261	3085
78	262	3058
79	263	3034
80	265	3010
81	266	2987
82	268	2964
83	270	2944
84	271	2922
85	273	2902
86	274	2876
87	275	2855
88	277	2836
89	278	2816
90	279	2795
91	281	2776
92	282	2755
93	284	2738
94	285	2720
95	287	2705
96	289	2690
97	290	2672
98	291	2655
99	293	2638
100	294	2622
101	295	2600
102	296	2584
103	298	2569
104	299	2553
105	301	2541
106	302	2527
107	304	2512
108	305	2498
109	307	2486
110	308	2471
111	310	2458
112	311	2445
113	312	2431
114	314	2418
115	315	2405
116	317	2392
117	318	2380
118	319	2367
119	322	2362
120	323	2351
121	325	2340
122	325	2323
123	327	2313
124	328	2302
125	330	2293
126	332	2283
127	333	2269
128	334	2260
129	336	2250
130	337	2239
131	339	2229
132	340	2219
133	342	2211
134	343	2203
135	345	2195
136	347	2187
137	348	2176
138	350	2168
139	352	2162
140	353	2153
141	354	2143
142	356	2135
143	357	2127
144	360	2124
145	362	2117
146	364	2114
147	365	2105
148	367	2098
149	368	2090
150	370	2082
151	371	2074
152	373	2067
153	374	2059
154	376	2051
155	377	2042
156	378	2034
157	380	2027
158	381	2019
159	383	2012
160	384	2005
161	386	1997
162	388	1992
163	389	1985
164	391	1978
165	392	1971
166	393	1964
167	394	1956
168	396	1949
169	397	1942
170	399	1935
171	400	1928
172	406	1941
173	407	1934
174	408	1927
175	410	1921
176	411	1914
177	413	1907
178	414	1901
179	415	1894
180	417	1889
181	418	1883
182	420	1876
183	421	1870
184	423	1863
185	424	1857
186	425	1851
187	427	1845
188	429	1841
189	430	1835
190	432	1831
191	434	1830
192	436	1826
193	438	1821
194	440	1817
195	441	1812
196	443	1806
197	445	1803
198	447	1799
199	448	1794
200	450	1789
201	451	1783
202	453	1779
203	454	1774
204	456	1768
205	457	1763
206	459	1760
207	461	1755
208	462	1750
209	464	1745
210	465	1740
211	466	1735
212	468	1730
213	469	1725
214	471	1720
215	472	1715
216	474	1711
217	475	1706
218	477	1703
219	479	1699
220	480	1694
221	482	1689
222	483	1684
223	484	1679
224	486	1675
225	487	1670
226	489	1665
227	490	1662
228	492	1658
229	494	1655
230	495	1651
231	497	1648
232	499	1643
233	501	1640
234	502	1635
235	504	1632
236	506	1629
237	507	1625
238	509	1622
239	511	1621
240	513	1616
241	514	1612
242	516	1609
243	518	1605
244	519	1601
245	521	1599
246	523	1595
247	524	1591
248	526	1589
249	528	1585
250	530	1581
251	531	1577
252	532	1573
253	535	1571
254	536	1568
255	538	1564
256	539	1561
257	541	1557
258	542	1553
259	544	1550
260	545	1545
261	547	1542
262	549	1538
263	550	1535
264	552	1531
265	553	1528
266	555	1524
267	556	1521
268	558	1517
269	560	1514
270	561	1510
271	562	1506
272	564	1502
273	566	1500
274	567	1496
275	569	1492
276	570	1489
277	572	1485
278	573	1482
279	575	1479
280	577	1476
281	580	1478
282	582	1475
283	583	1472
284	585	1468
285	586	1465
286	588	1461
287	589	1458
288	591	1454
289	593	1451
290	594	1449
291	596	1447
292	598	1443
293	600	1441
294	603	1441
295	605	1440
296	607	1437
297	609	1435
298	611	1432
299	612	1429
300	614	1426
301	615	1423
302	617	1420
303	619	1417
304	620	1414
305	622	1411
306	623	1408
307	630	1416
