iter	Passed	Remaining
0	4	4203
1	5	2885
2	7	2410
3	8	2128
4	10	1996
5	11	1889
6	12	1822
7	14	1787
8	17	1968
9	20	1989
10	21	1936
11	22	1888
12	24	1868
13	25	1819
14	27	1774
15	28	1743
16	29	1726
17	32	1788
18	34	1767
19	35	1731
20	36	1708
21	37	1686
22	39	1666
23	41	1687
24	42	1673
25	44	1661
26	47	1706
27	49	1714
28	50	1696
29	52	1681
30	53	1663
31	54	1646
32	55	1634
33	57	1620
34	58	1604
35	59	1602
36	62	1632
37	64	1620
38	65	1606
39	66	1592
40	67	1580
41	69	1576
42	70	1567
43	71	1557
44	73	1549
45	75	1563
46	77	1570
47	78	1561
48	80	1556
49	81	1548
50	82	1539
51	84	1533
52	85	1527
53	86	1520
54	88	1519
55	90	1521
56	91	1517
57	92	1508
58	94	1499
59	95	1493
60	96	1487
61	98	1483
62	99	1479
63	100	1474
64	102	1470
65	105	1489
66	106	1488
67	108	1482
68	109	1476
69	110	1472
70	112	1466
71	113	1463
72	114	1458
73	116	1453
74	118	1456
75	120	1466
76	121	1462
77	123	1455
78	124	1450
79	125	1446
80	127	1441
81	128	1435
82	128	1424
83	130	1418
84	131	1418
85	133	1422
86	135	1422
87	136	1418
88	138	1416
89	139	1412
90	141	1409
91	142	1407
92	143	1404
93	145	1402
94	147	1406
95	149	1409
96	151	1405
97	152	1402
98	153	1400
99	155	1398
100	156	1393
101	159	1400
102	161	1402
103	164	1420
104	166	1418
105	167	1415
106	169	1413
107	170	1411
108	172	1409
109	173	1406
110	175	1403
111	176	1403
112	179	1407
113	181	1407
114	182	1403
115	183	1401
116	185	1398
117	187	1398
118	189	1404
119	191	1405
120	194	1412
121	196	1417
122	204	1456
123	210	1484
124	212	1485
125	214	1489
126	216	1488
127	218	1488
128	221	1495
129	224	1502
130	226	1503
131	228	1505
132	230	1504
133	232	1504
134	234	1505
135	237	1511
136	242	1525
137	245	1531
138	247	1530
139	249	1530
140	251	1533
141	254	1535
142	256	1535
143	258	1533
144	259	1532
145	261	1531
146	263	1530
147	266	1531
148	268	1534
149	270	1534
150	272	1533
151	274	1532
152	276	1531
153	278	1530
154	280	1530
155	284	1538
156	286	1540
157	289	1540
158	290	1538
159	292	1536
160	293	1531
161	297	1540
162	301	1547
163	303	1545
164	305	1546
165	307	1547
166	310	1546
167	312	1545
168	315	1549
169	317	1548
170	319	1547
171	321	1545
172	322	1543
173	325	1543
174	328	1549
175	330	1547
176	332	1546
177	334	1543
178	336	1541
179	338	1540
180	339	1537
181	343	1544
182	345	1543
183	348	1546
184	351	1546
185	352	1543
186	354	1541
187	357	1545
188	359	1544
189	362	1546
190	365	1548
191	367	1546
192	369	1544
193	373	1550
194	375	1549
195	378	1551
196	381	1553
197	383	1552
198	385	1550
199	387	1550
200	389	1547
201	392	1549
202	394	1548
203	396	1545
204	398	1543
205	400	1542
206	402	1542
207	404	1540
208	406	1538
209	408	1537
210	410	1535
211	412	1533
212	414	1531
213	417	1533
214	419	1531
215	421	1530
216	424	1530
217	425	1527
218	427	1526
219	429	1523
220	433	1528
221	436	1528
222	438	1526
223	440	1524
224	443	1526
225	445	1524
226	448	1527
227	450	1524
228	453	1525
229	456	1527
230	458	1525
231	460	1523
232	463	1524
233	464	1521
234	467	1521
235	469	1520
236	472	1519
237	474	1517
238	476	1516
239	479	1518
240	482	1520
241	485	1521
242	487	1520
243	489	1517
244	492	1516
245	494	1515
246	496	1512
247	501	1520
248	503	1518
249	505	1516
250	507	1515
251	511	1519
252	514	1517
253	515	1514
254	517	1512
255	519	1510
256	524	1516
257	527	1517
258	530	1516
259	531	1513
260	533	1510
261	535	1508
262	537	1507
263	539	1505
264	542	1504
265	545	1505
266	547	1503
267	549	1501
268	552	1500
269	554	1499
270	557	1500
271	559	1497
272	561	1495
273	563	1493
274	565	1490
275	567	1488
276	569	1487
277	572	1487
278	575	1487
279	577	1485
280	579	1482
281	583	1486
282	585	1484
283	588	1484
284	591	1484
285	593	1481
286	595	1480
287	598	1479
288	600	1478
289	605	1483
290	607	1480
291	609	1477
292	612	1478
293	615	1477
294	619	1479
295	621	1478
296	624	1477
297	626	1474
298	628	1472
299	630	1471
300	633	1471
301	636	1471
302	638	1468
303	639	1465
304	642	1463
305	645	1463
306	648	1464
307	651	1463
308	653	1461
309	655	1458
310	657	1456
311	660	1455
312	662	1454
313	665	1453
314	666	1450
315	669	1448
316	672	1447
317	673	1445
318	676	1445
319	679	1444
320	681	1442
321	684	1440
322	686	1438
323	688	1435
324	690	1435
325	693	1433
326	695	1430
327	696	1427
328	698	1425
329	702	1425
330	704	1423
331	707	1423
332	709	1421
333	711	1418
334	713	1416
335	715	1414
336	718	1412
337	720	1411
338	723	1410
339	725	1408
340	728	1407
341	732	1408
342	734	1406
343	737	1406
344	740	1405
345	743	1404
346	746	1404
347	749	1403
348	751	1402
349	754	1400
350	755	1397
351	757	1394
352	759	1392
353	763	1392
354	765	1390
355	767	1387
356	769	1385
357	771	1383
358	773	1380
359	776	1380
360	779	1379
361	781	1377
362	783	1375
363	785	1373
364	788	1371
365	790	1369
366	794	1370
367	796	1368
368	798	1365
369	800	1363
370	802	1360
371	804	1357
372	807	1356
373	809	1354
374	811	1352
375	813	1349
376	815	1346
377	816	1344
378	818	1341
379	821	1339
380	823	1337
381	825	1335
382	827	1332
383	829	1330
384	830	1327
385	832	1324
386	834	1321
387	837	1321
388	840	1319
389	841	1316
390	843	1313
391	845	1311
392	846	1308
393	848	1305
394	851	1303
395	853	1301
396	855	1299
397	857	1296
398	859	1294
399	860	1291
400	862	1288
401	864	1285
402	866	1283
403	868	1280
404	869	1277
405	871	1274
406	873	1272
407	875	1269
408	876	1266
409	878	1264
410	880	1262
411	883	1260
412	885	1258
413	887	1255
414	888	1253
415	890	1250
416	892	1247
417	895	1247
418	898	1245
419	899	1242
420	901	1240
421	903	1237
422	905	1235
423	907	1232
424	909	1230
425	912	1228
426	913	1226
427	915	1223
428	917	1221
429	919	1218
430	921	1216
431	923	1213
432	925	1211
433	928	1210
434	930	1208
435	931	1205
436	933	1202
437	935	1200
438	941	1202
439	943	1200
440	946	1199
441	948	1197
442	951	1196
443	952	1193
444	956	1193
445	958	1191
446	961	1189
447	963	1187
448	965	1185
449	967	1182
450	971	1183
451	973	1180
452	975	1178
453	977	1175
454	979	1172
455	980	1170
456	983	1168
457	987	1168
458	989	1166
459	991	1163
460	992	1160
